JobTypeFormAnswerId,JobTypeFormQuestionId,Description,CreatedOn,CreatedBy,StatusId,ModifiedOn,ModifiedBy,LinkedJobTypeId,SortOrder,ColorCodeId,ActionsRequired,,,,,,,,,,,,,,
1585,655,No,29/5/2021 20:49,186784,1,29/5/2021 20:49,0,0,2,0,NULL,,,,,,,,,,,,,,
1586,656,Yes,29/5/2021 20:50,186784,1,29/5/2021 20:50,0,0,1,0,NULL,,,,,,,,,,,,,,
1587,656,No,29/5/2021 20:50,186784,1,29/5/2021 20:50,0,0,2,0,NULL,,,,,,,,,,,,,,
1588,658,Yes,29/5/2021 20:55,186784,1,29/5/2021 20:55,0,0,1,0,NULL,,,,,,,,,,,,,,
1589,658,No,29/5/2021 20:55,186784,1,29/5/2021 20:55,0,0,2,0,NULL,,,,,,,,,,,,,,
1590,661,Yes,29/5/2021 20:58,186784,1,29/5/2021 20:58,0,0,1,0,NULL,,,,,,,,,,,,,,
1591,661,No,29/5/2021 20:58,186784,1,29/5/2021 20:58,0,0,2,0,NULL,,,,,,,,,,,,,,
1592,662,Yes,29/5/2021 21:00,186784,1,29/5/2021 21:00,0,0,1,0,NULL,,,,,,,,,,,,,,
1593,662,No,29/5/2021 21:00,186784,1,29/5/2021 21:00,0,0,2,0,NULL,,,,,,,,,,,,,,
1594,663,Yes,29/5/2021 21:01,186784,1,29/5/2021 21:01,0,0,1,0,NULL,,,,,,,,,,,,,,
1595,663,No,29/5/2021 21:01,186784,1,29/5/2021 21:01,0,0,2,0,NULL,,,,,,,,,,,,,,
1596,664,Yes,29/5/2021 21:01,186784,1,29/5/2021 21:01,0,0,1,0,NULL,,,,,,,,,,,,,,
1597,664,No,29/5/2021 21:01,186784,1,29/5/2021 21:01,0,0,2,0,NULL,,,,,,,,,,,,,,
1598,667,Yes,29/5/2021 21:04,186784,1,29/5/2021 21:04,0,0,1,0,NULL,,,,,,,,,,,,,,
1599,667,No,29/5/2021 21:04,186784,1,29/5/2021 21:04,0,0,2,0,NULL,,,,,,,,,,,,,,
1600,665,Yes,29/5/2021 21:04,186784,1,29/5/2021 21:05,0,0,1,0,NULL,,,,,,,,,,,,,,
1601,665,No,29/5/2021 21:04,186784,1,29/5/2021 21:05,0,0,2,0,NULL,,,,,,,,,,,,,,
1602,669,Not a Class 1 Building,29/5/2021 21:07,186784,1,29/5/2021 21:08,0,0,1,0,NULL,,,,,,,,,,,,,,
1603,669,Yes,29/5/2021 21:07,186784,1,29/5/2021 21:08,0,0,2,0,NULL,,,,,,,,,,,,,,
1604,669,No,29/5/2021 21:07,186784,1,29/5/2021 21:08,0,0,3,0,NULL,,,,,,,,,,,,,,
1605,672,Not within Class 2 Building,29/5/2021 21:08,186784,1,29/5/2021 21:08,0,0,1,0,NULL,,,,,,,,,,,,,,
1606,672,Yes,29/5/2021 21:08,186784,1,29/5/2021 21:08,0,0,2,0,NULL,,,,,,,,,,,,,,
1607,672,No,29/5/2021 21:08,186784,1,29/5/2021 21:08,0,0,3,0,NULL,,,,,,,,,,,,,,
1608,674,Not a Class 1 Building,29/5/2021 21:12,186784,1,29/5/2021 21:13,0,0,1,0,NULL,,,,,,,,,,,,,,
1609,674,Yes,29/5/2021 21:13,186784,1,29/5/2021 21:13,0,0,2,0,NULL,,,,,,,,,,,,,,
1610,674,No,29/5/2021 21:13,186784,1,29/5/2021 21:13,0,0,3,0,NULL,,,,,,,,,,,,,,
1611,675,Not a Class 1 Building,29/5/2021 21:14,186784,1,29/5/2021 21:15,0,0,1,0,NULL,,,,,,,,,,,,,,
1612,675,No Fixed Heater,29/5/2021 21:14,186784,1,29/5/2021 21:15,0,0,2,0,NULL,,,,,,,,,,,,,,
1613,675,Yes,29/5/2021 21:14,186784,1,29/5/2021 21:15,0,0,3,0,NULL,,,,,,,,,,,,,,
1614,675,No,29/5/2021 21:15,186784,1,29/5/2021 21:15,0,0,4,0,NULL,,,,,,,,,,,,,,
1615,679,Not within Class 2 Building,29/5/2021 21:15,186784,1,29/5/2021 21:16,0,0,1,0,NULL,,,,,,,,,,,,,,
1616,679,Yes,29/5/2021 21:15,186784,1,29/5/2021 21:16,0,0,2,0,NULL,,,,,,,,,,,,,,
1617,679,No,29/5/2021 21:15,186784,1,29/5/2021 21:16,0,0,3,0,NULL,,,,,,,,,,,,,,
1618,677,Not within Class 2 building,29/5/2021 21:17,186784,1,29/5/2021 21:18,0,0,1,0,NULL,,,,,,,,,,,,,,
1619,677,Yes,29/5/2021 21:17,186784,1,29/5/2021 21:18,0,0,2,0,NULL,,,,,,,,,,,,,,
1620,677,No,29/5/2021 21:17,186784,1,29/5/2021 21:18,0,0,3,0,NULL,,,,,,,,,,,,,,
1621,678,Not within Class 2 building,29/5/2021 21:18,186784,1,29/5/2021 21:18,0,0,1,0,NULL,,,,,,,,,,,,,,
1622,678,No fixed heater,29/5/2021 21:18,186784,1,29/5/2021 21:18,0,0,2,0,NULL,,,,,,,,,,,,,,
